image_urls,jav_id,jav_magnet,jav_time,jav_update,jav_url
https://pics.javcdn.pw/cover/7zgj_b.jpg,RCTD-366,"[{'magnetUrl': 'magnet:?xt=urn:btih:6AE2D919D7FECB95A9E0E69779ACA320DD7705C7&dn=rctd00366', 'size': '1.04GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:9CFAA1E944D742D2A37CE0435AB29658DA20B452&dn=RCTD-366.mp4', 'size': '4.16GB'}]", 100分鐘, 2020-11-26,https://www.fanbus.in/RCTD-366
https://pics.dmm.co.jp/digital/video/h_1116cami00205/h_1116cami00205pl.jpg,CAMI-205,"[{'magnetUrl': 'magnet:?xt=urn:btih:0022188757F99E757204356EBA5F175868E57351&dn=%E7%AC%AC%E4%B8%80%E6%9C%83%E6%89%80%E6%96%B0%E7%89%87%40SIS001%40CAMI-205', 'size': '3.78GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:48B44119B95F8A1A5B910538E172EE6F07E25A90&dn=CAMI-205.mp4', 'size': '3.78GB'}]", 32分鐘, 2020-11-20,https://www.fanbus.in/CAMI-205
https://pics.javcdn.pw/cover/7zba_b.jpg,FONE-125,"[{'magnetUrl': 'magnet:?xt=urn:btih:28E178151099E51CF04AC2A044C3BFD88E900864&dn=fone-125-A.mp4', 'size': '1.38GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:829EADDEF6A4EBBA8AB476D96644DE65A4807395&dn=FONE-125.mp4', 'size': '2.23GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:F50EC73E0471C7EEF95C20607A96C5FFC81A8489&dn=FONE-125', 'size': '10.07GB'}]", 240分鐘, 2020-11-27,https://www.fanbus.in/FONE-125
https://pics.javcdn.pw/cover/7zb7_b.jpg,KNAM-027,"[{'magnetUrl': 'magnet:?xt=urn:btih:CCBD9107FED598E0758A47D02ADC8580845B1C86&dn=KNAM-027_2K', 'size': '2.18GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:95929D1C0B2A3E7BE2747308F5ED887C2A7FD836&dn=KNAM-027.mp4', 'size': '5.85GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:E4AE61E9F3C812A6376336A7E5087CCDB31EAE24&dn=KNAM027', 'size': '1.42GB'}]", 140分鐘, 2020-11-27,https://www.fanbus.in/KNAM-027
https://pics.javcdn.pw/cover/7yoq_b.jpg,MKMP-367,"[{'magnetUrl': 'magnet:?xt=urn:btih:4AEE560F47A66C3A91442A5648EB49C77938AB6D&dn=MKMP-367.mp4', 'size': '2.45GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:5B24DB23694308C4257D33C0DB2197A71A8A7F66&dn=mkmp-367-A.mp4', 'size': '1.41GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:037E6DF75AA2718BD119A0092273638567AD327B&dn=MKMP367', 'size': '2.96GB'}]", 300分鐘, 2020-11-27,https://www.fanbus.in/MKMP-367
https://pics.javcdn.pw/cover/8025_b.jpg,MBRBC-001,"[{'magnetUrl': 'magnet:?xt=urn:btih:61C8137EF045896C22FE5290C9F541C37B16D0A4&dn=MBRBC-001.mp4', 'size': '3.08GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:9FE163BD73EC48DEA1591BED4960D5569777DC04&dn=mbrbc-001.mp4', 'size': '707.32MB'}]", 74分鐘, 2020-11-27,https://www.fanbus.in/MBRBC-001
https://pics.javcdn.pw/cover/7yoc_b.jpg,HGOT-062,"[{'magnetUrl': 'magnet:?xt=urn:btih:19421F42942A97A7DBC03D025DB5A94DEEF13300&dn=HGOT-062.mp4', 'size': '2.24GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:59C13ECE175496F0EA6F632755C7CDC815BAEEBB&dn=HGOT-062', 'size': '10.08GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:7BBEC0D82414408C05455F650E4D83D9E8DE11F4&dn=hgot-062-A.mp4', 'size': '1.05GB'}]", 240分鐘, 2020-11-27,https://www.fanbus.in/HGOT-062
https://pics.javcdn.pw/cover/7z9m_b.jpg,DNW-102,"[{'magnetUrl': 'magnet:?xt=urn:btih:6B5A63E43FACA424BCB034D9034AB4BE6A3F97A9&dn=dnw-102-A.mp4', 'size': '1.27GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:203A99994DF03B4D7442CDD43FB27FD3F6938C71&dn=DNW-102', 'size': '11.34GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:6031D106313474E23D2FF9C63C7AD7315488E065&dn=DNW102', 'size': '2.73GB'}]", 270分鐘, 2020-11-27,https://www.fanbus.in/DNW-102
https://pics.javcdn.pw/cover/7yoe_b.jpg,SKMJ-133,"[{'magnetUrl': 'magnet:?xt=urn:btih:AEF4CF9737CB33B426347285F69AF0613AD28498&dn=SKMJ-133.mp4', 'size': '2.21GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:DC3B8B61255CDA31CEB332B8B3F99689D2344899&dn=skmj-133-A.mp4', 'size': '1.07GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:D44458E954043C23105D6D69F8C1393D23C0997F&dn=SKMJ133', 'size': '2.35GB'}]", 237分鐘, 2020-11-27,https://www.fanbus.in/SKMJ-133
https://pics.javcdn.pw/cover/7you_b.jpg,XRW-947,"[{'magnetUrl': 'magnet:?xt=urn:btih:29C2133EA5D51C7BC93C3CEC0337D29B21CB1609&dn=XRW-947', 'size': '12.63GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:E0CB250F90726082FED76F363EE2DD55925E4693&dn=xrw-947-A.mp4', 'size': '1.36GB'}]", 300分鐘, 2020-11-27,https://www.fanbus.in/XRW-947
